site,lat,long,n_shrubs,MAT,MAP,aridity
Carrizo_3,35.16321,119.6742,4,14,524,3.493333333
Carrizo_4,35.11838,-119.62891,4,14.5,476,3.070967742
Tecopa,35.85546,116.17906,25,20.1,77,0.36492891
Cuyama_1,34.84852,119.48154,8,13.4,533,3.701388889
Cuyama_2,34.85516,-199.48531,4,13.4,533,3.701388889
